short_description,category_list
Venimex is a provider of technology consulting services.,"Consulting,Internet"
Seafarm Ionian S.A. specializes in fish farming.,"Agriculture,Food and Beverage"
NIC Human Resources Consulting JSC was regarded as the first tier of HR Solutions in Vietnam.,"Online Portals,Recruiting,Professional Services"
"Myvillage is a cloud-deployed, socially-integrated, smart logistic software solution that turns aggregated residential data into insights.","Communities,Logistics,Software"
Perspectec is a information technology services company located in Toronto.,"Information and Communications Technology (ICT),Information Services,Information Technology"
The Border Mail is the #1 news service in the North East and Southern NSW.,News
Rock n Roll band specializing in unique and engaging content.,Music
"YouDigital offers Salesforce consulting, implementation, and development services.","Consulting,CRM,Enterprise Software,Information Technology"
Very low thermal damage electrosurgical instruments.,"Health Care,Medical,Medical Device"
HyperIn is a Finland-based company that provides management and monetization solutions for shopping centers.,"Analytics,CRM,E-Commerce,Enterprise Software,Internet,Mobile,PaaS"
Davy EII Tax Relief Fund 2015,
"Advertising, Branding, Entertainment","Advertising,Brand Marketing,Lifestyle,Music,Public Relations,Social Media"
Fujian Changfu Dairy Stock Group is a milk production company.,Food and Beverage
OnAir OnLine OnDemand,Consulting
Develop lab-on-a-chip based miniaturized point-of-care medical diagnostic devices.,"Biotechnology,Health Care,Medical"
"We are the designers, manufacturers, and exporters of quality fiberglass statues with a high aesthetic value. ",Art
S7 Media Design is a web-centric marketing design firm that provides design and implementation services for websites and other media.,"Advertising,Consulting,Internet,Web Design,Web Development"
Background Investigation Bureau is a security and investigations company offering employment background screening services.,"Cyber Security,Information Technology,Security"
After Call is a aftercall helps people to re-connect with their meeting colleagues.,Human Resources
"Tyler Welders offers welding supplies and gases, including welding, medical and specialty types.",Industrial
i2hub offers university and college students with tools that enable them to share files.,"Database,Peer to Peer,Social Network"
Intellilinks connects advertisers with a network of quality publishers.,"Advertising,Advertising Platforms,Marketing"
Customized laptop decals for fun and work. For every laptop in dozen keyboard layouts.,"E-Commerce,Gift,Gift Card"
"Ios Android News is an online platform that provides news, jailbreak rooting, reviews, guides, and tutorials on iOS and Android.",News
inc.jet supplies rugged and effective printing solutions to OEMs and integrators in the commercial packaging.,Business Development
Continuum Data Centers is a provider of data centers and colocation solutions.,"Analytics,Big Data,Information Technology,Robotics,Software"
Fund Dreams India is a crowd-funding platform.,"Crowdfunding,Financial Services"
"KBC Ancora is a Belgium-based company, whose principal activity is the maintenance and management of its shareholding in KBC Group.",Financial Services
Logistics and Supply Chain,"Automotive,Food and Beverage,Transportation"
OBIC Business Consultants develops IT and business technology solutions.,Consulting
Results 360 are pioneer in providing online details and notifications for Exams and Results in India.,"Education,Internet"
"Medtechy is the place for the latest medical device and biotech company intel, and career opportunities in medical sales.",Health Care
"Dymax Oligomers & Coatings is a leading manufacturer of advanced light-curable adhesives, coatings company located in Torrington.","Chemical,Manufacturing,Chemical Engineering"
Micropolis S.A is specialised in micro-encapsulation and hydrogel technology. ,Chemical
"TGaSŒ¬ Advisors is the provider of fact-based, peer-to-peer comparative intelligence, helping pharmaceutical operations.","Information Technology,Management Consulting"
CentroMarca,
Kiko Labs creates adaptive games for kids based on neuroscience to challenge skills needed for academic success.,"Children,Gaming,Neuroscience"
Ventana Home Mortgage create value in the residential mortgage market while working with äóÖoutside the boxäó» homeowners. ,"Financial Services,Lending"
Manas Informatic is a news and media company that offers news and latest stock market information.,"News,Publishing"
"Brief consulting opportunities, on demand","Consulting,Legal"
investor,
OCO Nordic is an environmentally sustainable surface cleaning company located in Helsingborg.,Environmental Consulting
"Solar Power, Solar Hot Water, And Air Conditioning Company Based In Perth, Western Australia.","Energy,Manufacturing,Solar"
OptiMag is a supplier of automated optical defect inspection and process control equipment.,"Electronics,Manufacturing"
Pr Lighting Solutions is providing high quality and affordable cutting edge LED lighting technology in the aftermarket lighting industry.,"Industrial,Manufacturing,Professional Services"
NorCom Information Technology AG is a Germany-based software and consulting company. NorCom is a producer and vendor of solutions for,"Consulting,Information Technology,Software"
Air Technique Franco-Suisse manufactures and installs generators hot air and radiant heating systems.,"Solar,Machinery Manufacturing,Manufacturing"
Albiotech offers a technology of creating Bioprotein from methane.,Information Technology
"Highlight invests in companies at seed, especially focused in web & mobile applications.",
Schewel Furniture Co. is a furniture company that provides bedroom and dining room products.,"E-Commerce,Manufacturing"
Early stage VC firm based in Poland supporting the development of innovative companies in the field of deep tech and enterprise software.,"Artificial Intelligence,Enterprise Software,Health Care,Life Science"
Remote tech source is a place for any computer problems you may have.,Hardware
"Decentralized diagnostic platform that enables more affordable, efficient and timely health decisions anytime from anywhere",Health Care
Air pollution protection for your every day travels.,"Consumer Goods,Pollution Control,Wellness"
"Alameda County Vector Control Services, a Division of the Alameda County Environmental Health Department providing vector related services.","Association,Health Care"
Helfina AG is an industrial company that specializes in coolant and exhaust air to efficient recycling to flexible automation solutions.,"Marketing Automation,Industrial Automation,Industrial"
"Waterway Plastics is a design, engineer and produce plastic products located in Oxnard.","Plastics and Rubber Manufacturing,Product Design,Manufacturing"
